,,,,,High School Graduation : Summarize,,,,,
Topic: Health Behavior and Population,,,,,,,,,,
Subtopic: Social and Economic Conditions,,,,,,,,,,
Indicator Name: High School Graduation,,,,,,,,,,
Indicator Description: ,,,,,,,,,,
,,,,,,,,,,
Year,GeoTypeName,Borough,Geography,Geography ID,Indicator Name,Number,Percent,Notes Number,Notes Percent,
2013-17,Neighborhood (NTA),Bronx, Bronxdale,507,High School Graduation,"18,629",72.7,,,
2013-17,Neighborhood (NTA),Brooklyn, Brooklyn Heights-Cobble Hill,4709,High School Graduation,"18,059",97.5,,,
2013-17,Neighborhood (NTA),Brooklyn, Brownsville,4781,High School Graduation,"27,197",73.5,,,
2013-17,Neighborhood (NTA),Brooklyn, Bushwick North,4777,High School Graduation,"25,710",66.0,,,
2013-17,Neighborhood (NTA),Brooklyn, Bushwick South,4778,High School Graduation,"36,149",71.9,,,
2013-17,Neighborhood (NTA),Queens, Cambria Heights,8133,High School Graduation,"13,905",91.3,,,
2013-17,Neighborhood (NTA),Brooklyn, Canarsie,4750,High School Graduation,"51,218",85.6,,,
2013-17,Neighborhood (NTA),Brooklyn, Carroll Gardens-Columbia Street-Red Hook,4733,High School Graduation,"28,104",87.8,,,
2013-17,Neighborhood (NTA),Manhattan, Central Harlem North-Polo Grounds,6103,High School Graduation,"47,504",80.2,,,
2013-17,Neighborhood (NTA),Manhattan, Central Harlem South,6111,High School Graduation,"31,070",83.8,,,
2013-17,Neighborhood (NTA),Staten Island, Charleston-Richmond Valley-Tottenville,8511,High School Graduation,"14,607",92.1,,,
2013-17,Neighborhood (NTA),Manhattan, Chinatown,6127,High School Graduation,"22,890",62.9,,,
2013-17,Neighborhood (NTA),Bronx, Claremont-Bathgate,501,High School Graduation,"12,854",65.8,,,
2013-17,Neighborhood (NTA),Manhattan, Clinton,6115,High School Graduation,"37,342",93.5,,,
2013-17,Neighborhood (NTA),Brooklyn, Clinton Hill,4769,High School Graduation,"25,062",91.8,,,
2013-17,Neighborhood (NTA),Queens, College Point,8123,High School Graduation,"13,564",76.0,,,
2013-17,Neighborhood (NTA),Bronx, Co-op City,513,High School Graduation,"29,470",84.8,,,
2013-17,Neighborhood (NTA),Queens, Corona,8125,High School Graduation,"26,378",68.3,,,
2013-17,Neighborhood (NTA),Bronx, Crotona Park East,575,High School Graduation,"8,755",63.1,,,
2013-17,Neighborhood (NTA),Brooklyn, Crown Heights North,4761,High School Graduation,"62,532",82.1,,,
2013-17,Neighborhood (NTA),Brooklyn, Crown Heights South,4763,High School Graduation,"24,290",87.8,,,
2013-17,Neighborhood (NTA),Brooklyn, Cypress Hills-City Line,4783,High School Graduation,"23,444",75.2,,,
