zipcode,day,neighborhood_name,borough_group,positive,covid_case_rate,covid_death_count,covid_death_rate,incidence_rate,newcases,pop_denominator
10013,2020-08-02,Hudson Square/Little Italy/SoHo/TriBeCa,Manhattan,308,1060.93,21,72.34,6.889187420343771,2,29031
10014,2020-08-02,Hudson Square/Meatpacking District/West Village,Manhattan,360,1159.68,29,93.42,0,0,31043
10016,2020-08-02,Kips Bay/Murray Hill/NoMad,Manhattan,800,1523.1,49,93.29,0,0,52524
10017,2020-08-02,East Midtown/Murray Hill,Manhattan,162,1004.51,8,49.61,0,0,16127
10018,2020-08-02,Hell's Kitchen/Midtown Manhattan,Manhattan,246,2580.93,5,52.46,10.492078480747036,1,9531
10019,2020-08-02,Hell's Kitchen/Midtown Manhattan,Manhattan,671,1651.43,42,103.37,2.4611749649282566,1,40631
10021,2020-08-02,Lenox Hill/Upper East Side,Manhattan,616,1394.43,64,144.88,0,0,44176
10022,2020-08-02,East Midtown,Manhattan,382,1259.28,31,102.19,3.296522169111587,1,30335
10023,2020-08-02,Lincoln Square,Manhattan,622,1031.94,54,89.59,0,0,60275
10024,2020-08-02,Upper West Side,Manhattan,803,1400.48,75,130.8,5.232132268303743,3,57338
10025,2020-08-02,Manhattan Valley/Morningside Heights/Upper West Side,Manhattan,1485,1608.3,176,190.61,0,0,92333
10026,2020-08-02,Central Harlem (South),Manhattan,721,1847.86,47,120.46,0,0,39018
10027,2020-08-02,Central Harlem (South)/Morningside Heights/West Harlem,Manhattan,1143,1796.29,113,177.59,-6.2862441262906446,-4,63631
10028,2020-08-02,Upper East Side/Yorkville,Manhattan,519,1055.84,33,67.13,0,0,49155
10029,2020-08-02,East Harlem,Manhattan,1946,2468.24,212,268.89,1.2683595038177622,1,78842
10030,2020-08-02,Central Harlem (North),Manhattan,556,1896.19,55,187.57,10.23122570083896,3,29322
10031,2020-08-02,Hamilton Heights/West Harlem,Manhattan,1451,2396.09,132,217.98,1.6513367571048763,1,60557
10032,2020-08-02,Washington Heights (South),Manhattan,1684,2738.54,174,282.96,6.504805425007724,4,61493
10033,2020-08-02,Washington Heights (North)/Washington Heights (South),Manhattan,1461,2467.47,120,202.67,0,0,59210
10034,2020-08-02,Inwood/Washington Heights (North),Manhattan,818,1899.07,71,164.83,9.286344430514928,4,43074
10035,2020-08-02,East Harlem,Manhattan,1099,3192.29,134,389.23,2.9046968948790193,1,34427
10036,2020-08-02,Hell's Kitchen/Midtown Manhattan,Manhattan,499,1903.76,40,152.61,3.8151920949219793,1,26211
10037,2020-08-02,Central Harlem (North)/East Harlem,Manhattan,560,2711.91,63,305.09,0,0,20650
10038,2020-08-02,Chinatown/Financial District,Manhattan,275,1247.28,28,127,0,0,22048
10039,2020-08-02,Central Harlem (North)/Washington Heights (South),Manhattan,582,2199.75,64,241.9,0,0,26458
10040,2020-08-02,Washington Heights (North),Manhattan,1232,2749.49,118,263.34,6.695232994108195,3,44808
10044,2020-08-02,Roosevelt Island,Manhattan,253,2162.34,36,307.68,0,0,11700
10065,2020-08-02,Lenox Hill/Upper East Side,Manhattan,345,1187.14,28,96.35,0,0,29061
10069,2020-08-02,Lincoln Square,Manhattan,65,1025.54,2,31.56,0,0,6338
10075,2020-08-02,Lenox Hill/Upper East Side,Manhattan,436,1844.79,45,190.4,4.231192350004231,1,23634
10128,2020-08-02,Upper East Side/Yorkville,Manhattan,700,1140.96,41,66.83,3.259877428608684,2,61352
10280,2020-08-02,Battery Park City,Manhattan,62,644.58,0,0,0,0,9619
10282,2020-08-02,Battery Park City,Manhattan,80,1450.47,15,271.96,0,0,5515
10301,2020-08-02,Silver Lake/St. George,Staten Island,1283,3238.79,106,267.59,5.048720149442117,2,39614
10302,2020-08-02,Elm Park,Staten Island,671,3574.09,32,170.45,21.30606157451795,4,18774
10303,2020-08-02,Graniteville/Mariner's Harbor/Port Ivory,Staten Island,923,3518.65,46,175.36,0,0,26232
10304,2020-08-02,New Dorp/Todt Hill,Staten Island,1472,3467.71,182,428.75,9.423072392753658,4,42449
10305,2020-08-02,Arrochar/Midland Beach/Shore Acres/South Beach Ocean Breeze,Staten Island,1333,3131.98,80,187.97,0,0,42561
10306,2020-08-02,Lighthouse Hill/Midland Beach/New Dorp/Oakwood,Staten Island,1538,2864.82,82,152.74,3.725366017211191,2,53686
10307,2020-08-02,Tottenville,Staten Island,411,2701.36,15,98.59,0,0,15215
10308,2020-08-02,Great Kills,Staten Island,690,2328.3,28,94.48,0,0,29635
10309,2020-08-02,Charleston/Prince's Bay/Woodrow,Staten Island,901,2729.89,31,93.93,3.0298439630359035,1,33005
10310,2020-08-02,Port Richmond/Randall Manor/West Brighton,Staten Island,741,3104.19,33,138.24,0,0,23871
10312,2020-08-02,Annadale/Rossville,Staten Island,1635,2711.25,59,97.84,0,0,60304
10314,2020-08-02,Bloomfield/Freshkills Park,Staten Island,2820,3104.55,201,221.28,3.3027280533720855,3,90834
10451,2020-08-02,Concourse/Melrose,Bronx,1679,3518.53,150,314.34,6.286803998407343,3,47719
10452,2020-08-02,Concourse/Highbridge,Bronx,2637,3423.12,170,220.68,9.086778736937756,7,77035
10453,2020-08-02,Morris Heights/Mount Hope/University Heights,Bronx,2615,3221.08,164,202.01,7.390618841150966,6,81184
10454,2020-08-02,Mott Haven/Port Morris,Bronx,1243,3251.93,105,274.7,0,0,38223
10455,2020-08-02,Mott Haven,Bronx,1408,3338.52,111,263.19,2.371129131692512,1,42174
10456,2020-08-02,Claremont/Morrisania,Bronx,2757,2950.5,290,310.35,5.3509128657348946,5,93442
